word_freq_make;word_freq_address;word_freq_all;word_freq_3d;word_freq_our;word_freq_over;word_freq_remove;word_freq_internet;word_freq_order;word_freq_mail;word_freq_receive;word_freq_will;word_freq_people;word_freq_report;word_freq_addresses;word_freq_free;word_freq_business;word_freq_email;word_freq_you;word_freq_credit;word_freq_your;word_freq_font;word_freq_000;word_freq_money;word_freq_hp;word_freq_hpl;word_freq_george;word_freq_650;word_freq_lab;word_freq_labs;word_freq_telnet;word_freq_857;word_freq_data;word_freq_415;word_freq_85;word_freq_technology;word_freq_1999;word_freq_parts;word_freq_pm;word_freq_direct;word_freq_cs;word_freq_meeting;word_freq_original;word_freq_project;word_freq_re;word_freq_edu;word_freq_table;word_freq_conference;"char_freq_;";char_freq_(;char_freq_[;char_freq_!;char_freq_$;char_freq_#;capital_run_length_average;capital_run_length_longest;capital_run_length_total;spam_class
0;64;64;0;32;0;0;0;0;0;0;64;0;0;0;32;0;129;193;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;778;0;0;3756;61;278;1
21;28;5;0;14;28;21;7;0;94;21;79;65;21;14;14;7;28;347;0;159;0;43;43;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;132;0;372;18;48;5114;101;1028;1
6;0;71;0;123;19;19;12;64;25;38;45;12;0;175;6;6;103;136;32;51;0;116;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;12;0;6;6;0;0;1;143;0;276;184;1;9821;485;2259;1
0;0;0;0;63;0;31;63;31;63;31;31;31;0;0;31;0;0;318;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;0;137;0;0;3537;40;191;1
0;0;0;0;63;0;31;63;31;63;31;31;31;0;0;31;0;0;318;0;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;0;135;0;0;3537;40;191;1
0;0;0;0;185;0;0;185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;223;0;0;0;0;3;15;54;1
0;0;0;0;192;0;0;0;0;64;96;128;0;0;0;96;0;32;385;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;164;54;0;1671;4;112;1
0;0;0;0;188;0;0;188;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;206;0;0;0;0;245;11;49;1
15;0;46;0;61;0;3;0;92;76;76;92;0;0;0;0;0;15;123;353;2;0;0;15;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;271;0;181;203;22;9744;445;1257;1
6;12;77;0;19;32;38;0;6;0;0;64;25;0;12;0;0;12;167;6;71;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;4;3;0;244;81;0;1729;43;749;1
0;0;0;0;0;0;96;0;0;192;96;0;0;0;0;0;0;96;384;0;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;0;0;0;0;0;0;0;0;0;0;0;462;0;0;1312;6;21;1
0;0;25;0;38;25;25;0;0;0;12;12;12;0;0;0;0;0;116;0;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;44;0;663;0;0;1243;11;184;1
0;69;34;0;34;0;0;0;0;0;0;69;0;0;0;34;0;139;209;0;104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;0;786;0;0;3728;61;261;1
0;0;0;0;9;0;9;0;0;9;9;0;9;0;0;0;0;0;272;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2083;7;25;1
0;0;142;0;71;35;0;35;0;71;0;35;0;0;0;535;0;0;321;0;285;0;35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102;0;357;0;0;1971;24;205;1
0;42;42;0;127;0;42;0;0;127;0;0;0;0;0;127;0;0;17;42;127;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;127;0;0;42;0;0;0;0;0;0;0;0;0;63;0;572;63;0;5659;55;249;1
0;0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;188;0;283;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;428;0;0;4652;31;107;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1975;37;0;35461;95;461;1
0;0;55;0;111;0;18;0;0;0;0;0;92;0;18;0;37;37;315;0;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182;0;455;0;0;132;4;70;1
0;63;0;0;159;31;0;0;31;0;0;63;0;0;127;63;31;318;222;0;191;0;31;63;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0;159;0;0;0;0;0;0;0;0;0;275;0;55;496;0;3509;91;186;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;729;0;729;0;0;3833;9;23;1
5;7;1;0;76;5;15;2;55;0;1;47;2;0;0;0;2;13;209;1;157;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;42;101;16;25;46;59;2569;66;2259;1
0;0;0;0;294;0;0;0;0;0;0;0;0;0;0;294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;404;404;0;809;0;0;4857;12;34;1
0;0;0;0;116;0;0;0;0;0;0;58;0;0;0;116;0;116;116;0;175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;133;0;667;0;0;1131;5;69;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;196;0;392;196;0;5466;22;82;1
5;7;1;0;76;5;15;2;55;0;1;47;2;0;0;0;2;13;209;1;157;0;5;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;42;101;16;25;46;59;2565;66;2258;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;144;0;0;0;0;196;0;392;196;0;5466;22;82;1
0;0;0;0;0;0;166;0;0;0;0;0;0;0;0;0;0;0;333;0;0;0;0;333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;368;0;0;2611;12;47;1
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;352;0;352;0;0;4;11;36;1
0;0;0;0;65;0;65;0;0;0;65;65;0;0;0;65;13;0;13;522;13;0;0;65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;459;0;91;0;0;2687;66;129;1
117;0;0;0;0;0;0;0;0;0;0;117;0;0;0;0;117;0;352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;117;0;0;0;0;0;0;886;0;0;1966;10;59;1
0;0;303;0;0;0;0;0;0;0;0;0;0;0;0;303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;352;0;2112;0;0;3909;11;43;1
